id,data_inversa,dia_semana,horario,uf,br,km,municipio,causa_acidente,tipo_acidente,classificacao_acidente,fase_dia,sentido_via,condicao_metereologica,tipo_pista,tracado_via,uso_solo,pessoas,mortos,feridos_leves,feridos_graves,ilesos,ignorados,feridos,veiculos,latitude,longitude,regional,delegacia,uop
654306,2025-01-10,sexta-feira,20:00:00,SC,116,54,PAPANDUVA,Conversão proibida,Colisão transversal,Com Vítimas Feridas,Plena Noite,Decrescente,Céu Claro,Simples,Reta,Não,3,0,1,0,1,1,1,3,"-26,39448417","-50,16480003",SPRF-SC,DEL06-SC,UOP02-DEL06-SC
654307,2025-01-10,sexta-feira,20:55:00,SE,101,20,MALHADA DOS BOIS,Manobra de mudança de faixa,Colisão traseira,Sem Vítimas,Plena Noite,Crescente,Céu Claro,Dupla,Reta,Não,3,0,0,0,1,2,0,3,"-10,36128499","-36,90821202",SPRF-SE,DEL02-SE,UOP02-DEL02-SE
654309,2025-01-10,sexta-feira,20:30:00,SC,280,"126,6",RIO NEGRINHO,Acessar a via sem observar a presença dos outros veículos,Colisão transversal,Com Vítimas Feridas,Plena Noite,Crescente,Céu Claro,Simples,Interseção de Vias,Sim,4,0,1,0,1,2,1,4,"-26,2390368","-49,50104713",SPRF-SC,DEL06-SC,UOP03-DEL06-SC
654316,2025-01-10,sexta-feira,18:00:00,SC,116,115,SANTA CECILIA,Velocidade Incompatível,Saída de leito carroçável,Com Vítimas Feridas,Pleno dia,Decrescente,Nublado,Simples,Curva;Declive,Não,2,0,0,1,0,1,1,2,"-26,80262399","-50,33936901",SPRF-SC,DEL06-SC,UOP02-DEL06-SC
654320,2025-01-10,sexta-feira,22:20:00,BA,101,728,EUNAPOLIS,Pista Escorregadia,Colisão com objeto,Com Vítimas Feridas,Plena Noite,Crescente,Nublado,Simples,Reta,Não,3,0,1,0,1,1,1,2,"-16,41122195","-39,58803177",SPRF-BA,DEL09-BA,UOP01-DEL09-BA
654322,2025-01-10,sexta-feira,23:25:00,SP,116,"209,9",GUARULHOS,Ausência de reação do condutor,Colisão com objeto,Com Vítimas Feridas,Plena Noite,Decrescente,Nublado,Dupla,Declive,Sim,1,0,1,0,0,0,1,1,"-23,42511799","-46,40221101",SPRF-SP,DEL01-SP,UOP01-DEL01-SP
654323,2025-01-10,sexta-feira,22:15:00,GO,20,211,POSSE,Condutor Dormindo,Tombamento,Com Vítimas Feridas,Plena Noite,Decrescente,Garoa/Chuvisco,Simples,Aclive;Curva,Não,7,0,1,0,4,3,1,5,"-14,266476","-46,37154",SPRF-DF,DEL02-DF,UOP03-DEL02-DF
654325,2025-01-11,sábado,01:00:00,TO,153,697,CARIRI DO TOCANTINS,Animais na Pista,Atropelamento de Animal,Com Vítimas Feridas,Plena Noite,Crescente,Nublado,Simples,Reta,Não,7,0,6,0,0,1,6,2,"-11,9282522","-49,18389058",SPRF-TO,DEL01-TO,UOP02-DEL01-TO
654326,2025-01-10,sexta-feira,22:40:00,MG,116,"658,5",SAO FRANCISCO DO GLORIA,Ausência de reação do condutor,Saída de leito carroçável,Com Vítimas Feridas,Plena Noite,Crescente,Céu Claro,Simples,Reta,Não,2,0,0,1,1,0,1,1,"-20,77782186","-42,30072593",SPRF-MG,DEL07-MG,UOP02-DEL07-MG
654328,2025-01-10,sexta-feira,23:00:00,MG,381,942,EXTREMA,Velocidade Incompatível,Colisão lateral mesmo sentido,Com Vítimas Feridas,Plena Noite,Decrescente,Nublado,Dupla,Aclive;Reta,Não,5,0,1,0,3,2,1,4,"-22,84803509","-46,33447863",SPRF-MG,DEL16-MG,UOP03-DEL16-MG
